,property_id,location_id,page_url,property_type,price,location,city,province_name,latitude,longitude,baths,purpose,bedrooms,date_added,agency,agent,Total_Area
0,237062,3325,https://www.zameen.com/Property/g_10_g_10_2_ground_floor_corner_apartment_with_green_lawn_for_sale-237062-3325-1.html,Flat,10000000,G-10,Islamabad,Islamabad Capital,33.67989,73.01264,2,For Sale,2,2/4/2019,,,1089.004
1,346905,3236,https://www.zameen.com/Property/e_11_2_services_society_flat_available_for_sale-346905-3236-1.html,Flat,6900000,E-11,Islamabad,Islamabad Capital,33.700993,72.971492,3,For Sale,3,5/4/2019,,,15246.055999999999
2,386513,764,https://www.zameen.com/Property/islamabad_g_15_house_is_available_for_sale-386513-764-1.html,House,16500000,G-15,Islamabad,Islamabad Capital,33.631486,72.926559,6,For Sale,5,7/17/2019,,,2178.008
3,656161,340,https://www.zameen.com/Property/islamabad_bani_gala_a_rare_minimalist_concept_in_a_quiet_location-656161-340-1.html,House,43500000,Bani Gala,Islamabad,Islamabad Capital,33.70757294,73.15119934,4,For Sale,4,4/5/2019,,,10890.0
4,841645,3226,https://www.zameen.com/Property/dha_valley_dha_homes_islamabad_dha_valley_8_marla_home_for_sale-841645-3226-1.html,House,7000000,DHA Defence,Islamabad,Islamabad Capital,33.492591,73.301339,3,For Sale,3,7/10/2019,Easy Property,Muhammad Junaid Ceo Muhammad Shahid Director,2178.008
5,850762,3390,https://www.zameen.com/Property/ghauri_town_ghauri_town_phase_1_house_is_available_for_sale_in_ghauri_town_phase_1-850762-3390-1.html,House,34500000,Ghauri Town,Islamabad,Islamabad Capital,33.623947,73.126588,8,For Sale,8,4/5/2019,,,87120.0
6,937975,445,https://www.zameen.com/Property/islamabad_korang_town_1_kanal_double_storey_corner_house__for_sale-937975-445-1.html,House,27000000,Korang Town,Islamabad,Islamabad Capital,33.579034,73.139591,8,For Sale,8,1/4/2019,,,5445.0
7,1258636,3241,https://www.zameen.com/Property/e_11_e_11_4_apartment_for_sale_in_e_11_4-1258636-3241-1.html,Flat,7800000,E-11,Islamabad,Islamabad Capital,33.698244,72.984238,2,For Sale,2,5/5/2019,Ettemad Enterprises,Balqiaz Marwat,16879.561999999998
8,1402466,376,https://www.zameen.com/Property/dha_defence_dha_defence_phase_1_dha_phase_1_sector_e_1st_avenue_one_kanal_with_basement_house_for_sale-1402466-376-1.html,House,50000000,DHA Defence,Islamabad,Islamabad Capital,33.540894,73.095732,7,For Sale,7,10/19/2018,Easy Property,Muhammad Junaid Ceo Muhammad Shahid Director,5445.0
9,1418706,3282,https://www.zameen.com/Property/f_11_f_11_1_f_11_1_penthouse_for_sale_in_executive_suites-1418706-3282-1.html,Penthouse,40000000,F-11,Islamabad,Islamabad Capital,33.679211,72.988787,5,For Sale,5,6/27/2019,Crown Associate,Abrar Ahmed,5445.0
10,1425602,429,https://www.zameen.com/Property/islamabad_diplomatic_enclave_apartment_for_sale_in_diplomatic_enclave-1425602-429-1.html,Flat,35000000,Diplomatic Enclave,Islamabad,Islamabad Capital,33.728873,73.119628,3,For Sale,3,6/3/2019,Al Sahar Estate,Zahid H. Usmani,19329.821
11,1586658,429,https://www.zameen.com/Property/islamabad_diplomatic_enclave_urgently_for_sale__2_bedroom_apartment_in_diplomatic_enclave-1586658-429-1.html,Flat,48000000,Diplomatic Enclave,Islamabad,Islamabad Capital,33.728873,73.119628,2,For Sale,2,2/4/2019,Al Sahar Estate,Zahid H. Usmani,21235.577999999998
12,1623818,3300,https://www.zameen.com/Property/f_6_f_6_2_house_for_sale_in_f_6_2-1623818-3300-1.html,House,400000000,F-6,Islamabad,Islamabad Capital,33.7315316,73.06569636,0,For Sale,0,7/4/2019,,,245025.0
13,1665024,11905,https://www.zameen.com/Property/dha_defence_phase_2_askari_tower_2_askari_towers_2_islamabad_flat_for_sale-1665024-11905-1.html,Flat,13500000,DHA Defence,Islamabad,Islamabad Capital,33.538087,73.164536,5,For Sale,3,6/4/2019,,,2722.5099999999998
14,1879795,329,https://www.zameen.com/Property/islamabad_e_11_flat_for_sale_in_e11_one_bed_tvl-1879795-329-1.html,Flat,3600000,E-11,Islamabad,Islamabad Capital,33.698137,72.978215,1,For Sale,1,7/3/2019,Ettemad Enterprises,Ettemad,8439.780999999999
15,1879796,329,https://www.zameen.com/Property/islamabad_e_11_flat_for_sale_in_e_11-1879796-329-1.html,Flat,5000000,E-11,Islamabad,Islamabad Capital,33.698137,72.978215,2,For Sale,2,5/5/2019,Ettemad Enterprises,Ettemad,1089.004
16,1947817,3075,https://www.zameen.com/Property/dha_phase_1_sector_f_dha_phase_1_defence_villas_fantastic_location_brand_new_3_bed_defence_villa_for_sale-1947817-3075-1.html,House,19000000,DHA Defence,Islamabad,Islamabad Capital,33.508481,73.091826,3,For Sale,3,6/20/2019,Infinity Properties,Ali,2722.5099999999998
17,2230469,9057,https://www.zameen.com/Property/dha_defence_phase_1_dha_phase_1_sector_b1_dha_phase_1__sector_b1_two_kanal_house_for_sale-2230469-9057-1.html,House,80000000,DHA Defence,Islamabad,Islamabad Capital,33.541728,73.094103,7,For Sale,7,7/16/2019,Easy Property,Muhammad Junaid Ceo Muhammad Shahid Director,10890.0
18,2234957,3116,https://www.zameen.com/Property/mpchs_multi_gardens_mpchs_block_a_house_for_sale_in_mpchs__multi_gardens_b17_islamabad-2234957-3116-1.html,House,26900000,B-17,Islamabad,Islamabad Capital,33.694495,72.826653,6,For Sale,6,2/4/2019,,,5445.0
19,2384979,424,https://www.zameen.com/Property/islamabad_pwd_housing_scheme_apartment_available_for_sale_in_newly_build_building_already_rented-2384979-424-1.html,Flat,1750000,PWD Housing Scheme,Islamabad,Islamabad Capital,33.570792,73.145256,0,For Sale,0,6/13/2019,Paris Real Estate & Builders,Chaudhary Naveed,4083.7649999999994
20,2642166,3331,https://www.zameen.com/Property/g_11_g_11_2_40x80_house_is_available_for_sale-2642166-3331-1.html,House,55000000,G-11,Islamabad,Islamabad Capital,33.67164,72.991655,7,For Sale,6,7/17/2019,,,3811.5139999999997
21,2642249,156,https://www.zameen.com/Property/islamabad_bhara_kahu_double_storey_house_having_two_portions-2642249-156-1.html,House,4500000,Bhara kahu,Islamabad,Islamabad Capital,33.737402,73.179159,3,For Sale,3,2/4/2019,,,1361.2549999999999
22,2651838,340,https://www.zameen.com/Property/islamabad_bani_gala_6_kanal_farm_house_in_bani_gala_3_side_corner-2651838-340-1.html,Farm House,88500000,Bani Gala,Islamabad,Islamabad Capital,33.713488,73.16268,3,For Sale,3,3/6/2019,,,32670.0
23,2682075,429,https://www.zameen.com/Property/islamabad_diplomatic_enclave_brand_new_apartment_in_diplomatic_enclave-2682075-429-1.html,Flat,47000000,Diplomatic Enclave,Islamabad,Islamabad Capital,33.728873,73.119628,2,For Sale,3,5/5/2019,Al Sahar Estate,Zahid H. Usmani,22869.084
24,2771097,8257,https://www.zameen.com/Property/islamabad_garden_town_house_for_sale_in_garden_town_islamabad-2771097-8257-1.html,House,4500000,Garden Town,Islamabad,Islamabad Capital,33.636132,73.113921,4,For Sale,4,1/5/2019,,,12795.796999999999
25,2842741,3460,https://www.zameen.com/Property/islamabad_koral_town_outstanding_4_marla_double_storey_house_for_sale_in_koral_chowk_near_to_gulberg_islamabad-2842741-3460-1.html,House,6800000,Koral Town,Islamabad,Islamabad Capital,33.602038,73.141966,4,For Sale,4,7/17/2019,,,1089.004
26,2873584,3491,https://www.zameen.com/Property/soan_garden_soan_garden_block_a_house_for_sale_in_soan_garden__block_a-2873584-3491-1.html,House,20000000,Soan Garden,Islamabad,Islamabad Capital,33.569648,73.151522,5,For Sale,6,6/29/2019,,,3267.0119999999997
27,2883507,157,https://www.zameen.com/Property/islamabad_blue_area_f_8_elysium_tower_blue_area__we_offer_1_bed_luxury_apartments_for_sale_booking_start_now-2883507-157-1.html,Flat,19400000,Blue Area,Islamabad,Islamabad Capital,33.713845,73.06097,1,For Sale,1,6/27/2019,Crown Associate,Abrar Ahmed,11706.793
28,3098002,3299,https://www.zameen.com/Property/f_6_f_6_1_brand_new_house_for_sale-3098002-3299-1.html,House,100000000,F-6,Islamabad,Islamabad Capital,33.72402,73.074524,5,For Sale,5,1/5/2019,Property Syendicate,Rizwan Shafqat,48460.67799999999
29,3101600,3332,https://www.zameen.com/Property/g_11_g_11_3_residential_flat_2_bed_is_available_in_one_in_crown_tower_for_sale-3101600-3332-1.html,Flat,8000000,G-11,Islamabad,Islamabad Capital,33.675604,73.000367,2,For Sale,2,5/5/2019,Ettemad Enterprises,Balqiaz Marwat,18240.817
30,3166573,329,https://www.zameen.com/Property/islamabad_e_11_e11_main_margalla_road_capital_resort_new_booking-3166573-329-1.html,Flat,6300000,E-11,Islamabad,Islamabad Capital,33.698137,72.978215,3,For Sale,3,5/5/2019,Ettemad Enterprises,Ettemad,14429.302999999998
31,3285142,3307,https://www.zameen.com/Property/f_7_f_7_1_duplex_pair_house_for_sale-3285142-3307-1.html,House,220000000,F-7,Islamabad,Islamabad Capital,33.716274,73.05624,10,For Sale,10,1/5/2019,Property Syendicate,Rizwan Shafqat,114345.0
32,3310804,3394,https://www.zameen.com/Property/ghauri_town_ghauri_town_phase_4_house_for_sale-3310804-3394-1.html,House,4500000,Ghauri Town,Islamabad,Islamabad Capital,33.61855,73.135471,3,For Sale,2,11/6/2018,,,1361.2549999999999
33,3371338,3436,https://www.zameen.com/Property/i_16_i_16_2_8_marla_house_for_sale-3371338-3436-1.html,House,12500000,I-16,Islamabad,Islamabad Capital,33.594496,72.926595,5,For Sale,6,7/4/2019,,,2178.008
34,3626467,343,https://www.zameen.com/Property/islamabad_e_7_extraordinary_location_close_to_faisal_mosque_1244_sq_yd_house-3626467-343-1.html,House,230000000,E-7,Islamabad,Islamabad Capital,33.727409,73.047581,4,For Sale,4,6/12/2019,Zorje Pvt Ltd,Obaid Abbasi,136125.0
35,858689,3190,https://www.zameen.com/Property/dha_defence_phase_1_dha_phase_1_sector_b_islamabad_dha_phase_1_sector_b__one_kanal_house_for_rent-858689-3190-4.html,House,110000,DHA Defence,Islamabad,Islamabad Capital,33.542039,73.093414,5,For Rent,5,10/20/2018,Easy Property,Muhammad Junaid Ceo Muhammad Shahid Director,5445.0
36,877435,165,https://www.zameen.com/Property/islamabad_f_7_good_house_for_rent-877435-165-4.html,House,600000,F-7,Islamabad,Islamabad Capital,33.720413,73.056493,6,For Rent,6,10/20/2018,Nexus Estate Services,Ch Afzal/ Ch Faisal/ Ch Adeel,10890.0
37,981663,3349,https://www.zameen.com/Property/g_15_g_15_2_g_15_2_ground_portion_is_available_for_rent-981663-3349-4.html,Lower Portion,33000,G-15,Islamabad,Islamabad Capital,33.633416,72.91822,2,For Rent,2,10/20/2018,,,2178.008
38,1838236,1378,https://www.zameen.com/Property/islamabad_pakistan_town_1_2_kanal_independent_house_for_rent__option_of_adittional_1_2_kanal_empty_plot_at_back_to_be_included_as_backyard_lawn_or_garden-1838236-1378-4.html,House,45000,Pakistan Town,Islamabad,Islamabad Capital,33.575405,73.143325,5,For Rent,3,7/11/2019,,,65340.0
39,1871937,156,https://www.zameen.com/Property/islamabad_bhara_kahu_brand_new_portion_for_rent-1871937-156-4.html,Upper Portion,12000,Bhara kahu,Islamabad,Islamabad Capital,33.737402,73.179159,2,For Rent,2,2/4/2019,,,1361.2549999999999
40,1923026,165,https://www.zameen.com/Property/islamabad_f_7_beautiful_home_for_rent_in_f_7_islamabad-1923026-165-4.html,House,175000,F-7,Islamabad,Islamabad Capital,33.720413,73.056493,4,For Rent,4,6/4/2019,,,36209.382999999994
41,2040534,9014,https://www.zameen.com/Property/islamabad_islamabad_expressway_ground_portion_is_available_for_rent_near_tm_cng_service_road_khanna_pul_expressway_islamabad-2040534-9014-4.html,Lower Portion,17000,Islamabad Expressway,Islamabad,Islamabad Capital,33.632166,73.111507,2,For Rent,2,2/4/2019,,,1361.2549999999999
42,2922894,3300,https://www.zameen.com/Property/f_6_f_6_2_house__23_for_rent_in_street_no_22__f62-2922894-3300-4.html,House,1022000,F-6,Islamabad,Islamabad Capital,33.731335,73.068473,8,For Rent,8,7/4/2019,,,10890.0
43,3191268,164,https://www.zameen.com/Property/islamabad_f_6_luxurious_and_contemporary_triple_story_7_bed_huge_house-3191268-164-4.html,House,900000,F-6,Islamabad,Islamabad Capital,33.730907,73.074431,8,For Rent,7,6/20/2019,Zorje Pvt Ltd,Obaid Abbasi,130680.0
44,3347676,3299,https://www.zameen.com/Property/f_6_f_6_1_house_portion_is__for_rent_in_f_6_1-3347676-3299-4.html,Lower Portion,200000,F-6,Islamabad,Islamabad Capital,33.724018,73.074524,3,For Rent,3,4/5/2019,Property Syendicate,Rizwan Shafqat,4356.016
45,3349054,329,https://www.zameen.com/Property/islamabad_e_11_beautiful_1_kanal_full_house_for_rent-3349054-329-4.html,House,265000,E-11,Islamabad,Islamabad Capital,33.698137,72.978215,7,For Rent,7,5/5/2019,,,10890.0
46,3577153,3377,https://www.zameen.com/Property/g_8_g_8_2_fully_furnished_ground_portion_for_rent_in_g_8_2-3577153-3377-4.html,Lower Portion,60000,G-8,Islamabad,Islamabad Capital,33.698065,73.044612,2,For Rent,2,5/5/2019,,,25319.342999999997
47,347795,8,https://www.zameen.com/Property/lahore_model_town_6_kanal_excellent_house_for_sale_in_model_town-347795-8-1.html,House,220000000,Model Town,Lahore,Punjab,31.48386866,74.3256855,0,For Sale,0,7/17/2019,Real Biz International,Usama Khan,32670.0
48,482892,48,https://www.zameen.com/Property/lahore_multan_road_1_kanal_house_for_sale-482892-48-1.html,House,40000000,Multan Road,Lahore,Punjab,31.431593,74.17998,5,For Sale,5,10/6/2018,Khan Estate,mohsinkhan and B,5445.0
49,555962,75,https://www.zameen.com/Property/eden_eden_avenue_9_marla_house_for_sale-555962-75-1.html,House,9500000,Eden,Lahore,Punjab,31.499348,74.416959,0,For Sale,3,7/3/2019,Shahum Estate 2,"Babar Hameed, Raja Omar",2450.259
50,562843,3821,https://www.zameen.com/Property/gulberg_2_gulberg_2_block_s_semi_commercial_house_for_sale_near_mm_alam_price_negotiable-562843-3821-1.html,House,125000000,Gulberg,Lahore,Punjab,31.522069,74.355512,7,For Sale,8,4/4/2019,,,5445.0
51,686990,3522,https://www.zameen.com/Property/allama_iqbal_town_allama_iqbal_town_raza_block_11_marla_house_for_sale_at_best_location_with_noc_ready-686990-3522-1.html,House,21000000,Allama Iqbal Town,Lahore,Punjab,31.506483,74.286017,5,For Sale,6,4/4/2019,,,2994.7609999999995
52,785289,3102,https://www.zameen.com/Property/gulberg_paf_falcon_complex_matz_service_offer_1_kanal_house_for_sale-785289-3102-1.html,House,52000000,Gulberg,Lahore,Punjab,31.495909,74.350569,6,For Sale,5,6/2/2019,MATZ Services,Group Captain (R) Tajammul Baig,5445.0
53,891543,4031,https://www.zameen.com/Property/military_accounts_housing_society_military_accounts_society_block_b_brand_new_8_marla_luxurious_house_for_sale_at_military_accounts_cooperative_hosing_society_phase_1_college_road_lahore_key_features_of_this_luxurious_house_are__6_bedrooms_with_attach_bath__powder_room__2_kitchens__2_tv_lounges__drawing_and_dining_room__c-891543-4031-1.html,House,16500000,Military Accounts Housing Society,Lahore,Punjab,31.421229,74.28556,7,For Sale,6,7/3/2019,,,2178.008
54,983065,3749,https://www.zameen.com/Property/eme_society_eme_society_block_e_house_for_sale-983065-3749-1.html,House,32500000,EME Society,Lahore,Punjab,31.439978,74.209685,0,For Sale,5,7/3/2019,Sukhera Estate & Builders,Ahmed Sheraz Sukhera,5445.0
55,983066,3745,https://www.zameen.com/Property/eme_society_eme_society_block_a_house_for_sale-983066-3745-1.html,House,31500000,EME Society,Lahore,Punjab,31.437744,74.21349,0,For Sale,6,7/3/2019,Sukhera Estate & Builders,Ahmed Sheraz Sukhera,5445.0
56,983075,3931,https://www.zameen.com/Property/izmir_town_izmir_town_block_q_house_for_sale-983075-3931-1.html,House,40000000,Izmir Town,Lahore,Punjab,31.409106,74.181662,0,For Sale,6,7/3/2019,Sukhera Estate & Builders,Ahmed Sheraz Sukhera,87120.0
57,1286643,3733,https://www.zameen.com/Property/eden_eden_palace_villas_7_5_marla_luxury_house_is_available_for_sale-1286643-3733-1.html,House,13500000,Eden,Lahore,Punjab,31.441113,74.239683,4,For Sale,4,4/4/2019,,,20418.824999999997
58,1402784,514,https://www.zameen.com/Property/lahore_upper_mall_commercial_old_house_for_sale_upper_mall_lahore_excellent_location-1402784-514-1.html,House,87500000,Upper Mall,Lahore,Punjab,31.542114,74.355898,5,For Sale,4,6/30/2019,Hamza Real Estate,Imran Shahad,65340.0
59,1606710,69,https://www.zameen.com/Property/lahore_cavalry_ground_10_marla_house_is_available_for_sale-1606710-69-1.html,House,16500000,Cavalry Ground,Lahore,Punjab,31.500557,74.36773,0,For Sale,4,4/4/2019,Rana Estate,Rana Shahzad,2722.5099999999998
60,1646880,1781,https://www.zameen.com/Property/bahria_town_sector_b_bahria_town_umar_block_double_storey_house_for_sale-1646880-1781-1.html,House,18500000,Bahria Town,Lahore,Punjab,31.381706,74.195294,0,For Sale,0,7/4/2019,Punjab Associates,Ch. Tariq Ali Ranjha,2722.5099999999998
61,1794392,9432,https://www.zameen.com/Property/askari_10_askari_10_sector_a_10_marla_intagrated_design_main_boulevard_available_for_sale-1794392-9432-1.html,House,23500000,Askari,Lahore,Punjab,31.537239,74.420211,4,For Sale,4,6/18/2019,Forces Properties,Khalid Saeed Khan,2722.5099999999998
62,1861954,378,https://www.zameen.com/Property/lahore_bedian_road_1_kanal_house_for_sale-1861954-378-1.html,House,22500000,Bedian Road,Lahore,Punjab,31.473474,74.429569,4,For Sale,4,4/4/2019,,,5445.0
63,1871116,4445,https://www.zameen.com/Property/lahore_agrics_town_brand_new_a_standards_furnished_house_for_sale-1871116-4445-1.html,House,50000000,Agrics Town,Lahore,Punjab,31.441625,74.224648,7,For Sale,6,7/10/2019,,,4900.518
64,1997947,3814,https://www.zameen.com/Property/gulberg_2_gulberg_2_block_g_10_marla_town_house_with_commercialization_for_sale-1997947-3814-1.html,House,39500000,Gulberg,Lahore,Punjab,31.526312,74.347959,6,For Sale,6,6/11/2019,,,2722.5099999999998
65,2052081,9435,https://www.zameen.com/Property/askari_10_askari_10_sector_d_12_marla_tariq_design_house_is_available_for_sale-2052081-9435-1.html,House,27500000,Askari,Lahore,Punjab,31.533161,74.419481,5,For Sale,4,6/18/2019,Forces Properties,Khalid Saeed Khan,3267.0119999999997
66,2146098,9747,https://www.zameen.com/Property/lahore_chaman_park_commercial_house_is_available_for_sale_facing_canal_bank_nayapul_u_turn-2146098-9747-1.html,House,40000000,Chaman Park,Lahore,Punjab,31.567912,74.399192,3,For Sale,6,1/4/2019,,,2994.7609999999995
67,2311887,9432,https://www.zameen.com/Property/askari_10_askari_10_sector_a_1_kanal_shelter_with_basement_on_main_boulevard_for_sale-2311887-9432-1.html,House,45000000,Askari,Lahore,Punjab,31.537239,74.420211,6,For Sale,5,6/18/2019,Forces Properties,Khalid Saeed Khan,5445.0
68,2379549,1511,https://www.zameen.com/Property/lahore_chungi_amar_sadhu_3_marla_double_storey_house_for_sale-2379549-1511-1.html,House,3200000,Chungi Amar Sadhu,Lahore,Punjab,31.450925,74.354287,2,For Sale,3,12/5/2018,,,816.7529999999999
69,2439750,9436,https://www.zameen.com/Property/askari_10_askari_10_sector_e_10_marla_rdi_design_house_available_for_sale-2439750-9436-1.html,House,21200000,Askari,Lahore,Punjab,31.536068,74.408666,4,For Sale,3,6/18/2019,Forces Properties,Khalid Saeed Khan,2722.5099999999998
70,2439775,9433,https://www.zameen.com/Property/askari_10_askari_10_sector_b_10_marla_integrated_design_main_boulevard_available_for_sale-2439775-9433-1.html,House,23000000,Askari,Lahore,Punjab,31.537458,74.413323,5,For Sale,4,6/18/2019,Forces Properties,Khalid Saeed Khan,2722.5099999999998
71,2439785,9434,https://www.zameen.com/Property/askari_10_askari_10_sector_c_10_marla_haider_design_is_available_for_sale-2439785-9434-1.html,House,21500000,Askari,Lahore,Punjab,31.53327,74.41358,5,For Sale,4,6/18/2019,Forces Properties,Khalid Saeed Khan,2722.5099999999998
72,2439790,9435,https://www.zameen.com/Property/askari_10_askari_10_sector_d_10_marla_integrated_design_well_maintained_house_for_sale-2439790-9435-1.html,House,21500000,Askari,Lahore,Punjab,31.533161,74.419481,5,For Sale,4,6/18/2019,Forces Properties,Khalid Saeed Khan,2722.5099999999998
73,2471472,9433,https://www.zameen.com/Property/askari_10_askari_10_sector_b_one_kanal_house_khalid_designed_main_boulevard_fully_renovated_available_for_sale-2471472-9433-1.html,House,40000000,Askari,Lahore,Punjab,31.537458,74.413323,6,For Sale,5,6/18/2019,Forces Properties,Khalid Saeed Khan,5445.0
74,2471478,9435,https://www.zameen.com/Property/askari_10_askari_10_sector_d_10_marla_haider_design_facing_park_available_for_sale-2471478-9435-1.html,House,26000000,Askari,Lahore,Punjab,31.533161,74.419481,5,For Sale,4,6/18/2019,Forces Properties,Khalid Saeed Khan,2722.5099999999998
75,2510609,9433,https://www.zameen.com/Property/askari_10_askari_10_sector_b_10_marla_younis_design_available_for_sale-2510609-9433-1.html,House,21000000,Askari,Lahore,Punjab,31.537458,74.413323,4,For Sale,4,6/18/2019,Forces Properties,Khalid Saeed Khan,2722.5099999999998
76,2510625,9434,https://www.zameen.com/Property/askari_10_askari_10_sector_c_10_marla_haider_design_facing_lake_open_view_for_sale-2510625-9434-1.html,House,23000000,Askari,Lahore,Punjab,31.53327,74.41358,5,For Sale,4,6/18/2019,Forces Properties,Khalid Saeed Khan,2722.5099999999998
77,2510674,9435,https://www.zameen.com/Property/askari_10_askari_10_sector_d_10_marla_tipu_design_available_on_main_boulevard_for_sale-2510674-9435-1.html,House,23000000,Askari,Lahore,Punjab,31.533161,74.419481,6,For Sale,5,6/18/2019,Forces Properties,Khalid Saeed Khan,2722.5099999999998
78,2747251,3749,https://www.zameen.com/Property/eme_society_eme_society_block_e_house_for_elegant_family_living-2747251-3749-1.html,House,57500000,EME Society,Lahore,Punjab,31.439978,74.209685,5,For Sale,5,4/3/2019,Punjaab Estates,Irfan Rehman Khan,5445.0
79,2794766,3794,https://www.zameen.com/Property/gor_gor_1_five_star_real_estate_offer_house_for_dignitaries-2794766-3794-1.html,House,620000000,GOR,Lahore,Punjab,31.543431,74.344225,8,For Sale,8,5/3/2019,Punjaab Estates,Irfan Rehman Khan,353925.0
80,2801879,1494,https://www.zameen.com/Property/lahore_karim_park_2_5_marla_house_for_sale-2801879-1494-1.html,House,5500000,Karim Park,Lahore,Punjab,31.590234,74.300365,3,For Sale,3,6/11/2019,,,6806.275
81,2821111,154,https://www.zameen.com/Property/gulberg_zafar_ali_road_1_kanal_house_for_sale_in_gulberg_zafar_ali_road_lahore-2821111-154-1.html,House,50000000,Gulberg,Lahore,Punjab,31.53842,74.352357,6,For Sale,5,7/3/2019,Hamza Real Estate,Imran Shahad,5445.0
82,2913869,3089,https://www.zameen.com/Property/cantt_ali_park_8_marla_dream_corner_house_for_urgent_for_sale_45_feet_wide_face-2913869-3089-1.html,House,12000000,Cantt,Lahore,Punjab,31.49858,74.40927,6,For Sale,6,12/5/2018,,,2178.008
83,3051476,373,https://www.zameen.com/Property/lahore_valencia_housing_society_a_home_you_desire_to_live-3051476-373-1.html,House,65000000,Valencia Housing Society,Lahore,Punjab,31.40537,74.257078,0,For Sale,0,6/2/2019,Punjaab Estates,Irfan Rehman Khan,10890.0
84,3217881,3852,https://www.zameen.com/Property/gulberg_main_boulevard_gulberg_house_for_sale_ideal_for_mega_multi_billion_project-3217881-3852-1.html,House,1250000000,Gulberg,Lahore,Punjab,31.519435,74.345548,0,For Sale,0,2/3/2019,Punjaab Estates,Irfan Rehman Khan,43560.0
85,3222456,893,https://www.zameen.com/Property/lahore_gulshan_e_ravi_22_marla_house_for_sale-3222456-893-1.html,House,42500000,Gulshan-e-Ravi,Lahore,Punjab,31.551184,74.284058,8,For Sale,8,4/4/2019,,,59895.0
86,3242351,4280,https://www.zameen.com/Property/valencia_housing_society_valencia_block_h_house_for_sale__best_for_commercial_purposes-3242351-4280-1.html,House,66500000,Valencia Housing Society,Lahore,Punjab,31.400096,74.259682,0,For Sale,0,4/3/2019,Punjaab Estates,Irfan Rehman Khan,10890.0
87,3277952,8444,https://www.zameen.com/Property/al_raheem_garden_al_raheem_garden_phase_4_brand_new_6_marla_corner_fully_covered_house-3277952-8444-1.html,House,12000000,Al-Raheem Garden,Lahore,Punjab,31.597234,74.474513,5,For Sale,5,7/3/2019,,,1633.5059999999999
88,3292607,3745,https://www.zameen.com/Property/eme_society_eme_society_block_a_double_storey_house_for_sale_in_eme-3292607-3745-1.html,House,40000000,EME Society,Lahore,Punjab,31.437744,74.21349,7,For Sale,6,4/4/2019,,,5445.0
89,3341826,3824,https://www.zameen.com/Property/gulberg_gulberg_3_4_kanal_15_marla_old_house_is_available_for_sale_gulberg_3_lahore-3341826-3824-1.html,House,180000000,Gulberg,Lahore,Punjab,31.505678,74.348202,7,For Sale,5,7/3/2019,Hamza Real Estate,Imran Shahad,255915.0
90,3442797,4349,https://www.zameen.com/Property/lahore_mateen_avenue_house_available_for_sale-3442797-4349-1.html,House,17000000,Mateen Avenue,Lahore,Punjab,31.441992,74.291389,6,For Sale,5,3/5/2019,,,26408.346999999998
91,3463063,3748,https://www.zameen.com/Property/eme_society_eme_society_block_d_21st_century_house_for_sale-3463063-3748-1.html,House,47500000,EME Society,Lahore,Punjab,31.434668,74.214005,0,For Sale,0,5/3/2019,Punjaab Estates,Irfan Rehman Khan,5445.0
92,3507838,4113,https://www.zameen.com/Property/paragon_city_paragon_city_orchard_block_house_is_available_for_sale-3507838-4113-1.html,House,17000000,Paragon City,Lahore,Punjab,31.530739,74.456184,5,For Sale,5,6/11/2019,Valo Marketing,Nabeel Khalid Ch M Naveed Muhammad Bin Shahid,2722.5099999999998
93,3541183,8425,https://www.zameen.com/Property/lahore_iep_engineers_town_good_location_double_storey_house_in_iep_engineering_town_on_main_defence_road-3541183-8425-1.html,House,25000000,IEP Engineers Town,Lahore,Punjab,31.402513,74.292798,5,For Sale,4,2/1/2019,,,4900.518
94,1422699,1156,https://www.zameen.com/Property/faisalabad_muslim_town_five_marla_beautiful_house_for_sale-1422699-1156-1.html,House,8500000,Muslim Town,Faisalabad,Punjab,31.47005202,73.08828592,5,For Sale,4,7/17/2019,,,1361.2549999999999
95,2502517,1230,https://www.zameen.com/Property/millat_town_clock_tower_house_is_available_for_sale-2502517-1230-1.html,House,25000000,Millat Town,Faisalabad,Punjab,31.490612,73.10647,6,For Sale,5,7/3/2019,,,65340.0
96,2799588,5036,https://www.zameen.com/Property/faisalabad_raza_abad_corner_house_for_sale-2799588-5036-1.html,House,6000000,Raza Abad,Faisalabad,Punjab,31.42599,73.048217,2,For Sale,4,6/19/2019,,,6806.275
97,3130278,419,https://www.zameen.com/Property/satiana_road_tech_town__tnt_colony__triple_storey_house_is_available_for_sale-3130278-419-1.html,House,60000000,Satiana Road,Faisalabad,Punjab,31.372179,73.125594,6,For Sale,6,2/17/2019,Ibraheem Associates,Miss Noor ul Huda,87120.0
98,425947,1406,https://www.zameen.com/Property/rawalpindi_humak_house_is_available_for_sale-425947-1406-1.html,House,13500000,Humak,Rawalpindi,Punjab,33.538462,73.144913,4,For Sale,5,4/5/2019,,,1905.7569999999998
99,487921,6053,https://www.zameen.com/Property/westridge_westridge_1_house_for_sale-487921-6053-1.html,House,31500000,Westridge,Rawalpindi,Punjab,33.607829,73.021817,10,For Sale,12,7/4/2019,,,65340.0